data_hora,potencia_kw,energia_kwh,temperatura_inversor,fonte_id,data,geracao
2025-07-07 09:49:23.207481,2.149,0.537,38.0,1,2025-07-07,21.913
2025-07-07 10:04:23.207481,2.4,0.6,43.0,1,2025-07-07,21.913
2025-07-07 10:19:23.207481,2.805,0.701,31.8,1,2025-07-07,21.913
2025-07-07 10:34:23.207481,2.729,0.682,42.7,1,2025-07-07,21.913
2025-07-07 10:49:23.207481,2.574,0.643,34.4,1,2025-07-07,21.913
2025-07-07 11:04:23.207481,3.753,0.938,26.9,1,2025-07-07,21.913
2025-07-07 11:19:23.207481,2.851,0.713,32.1,1,2025-07-07,21.913
2025-07-07 11:34:23.207481,3.204,0.801,27.4,1,2025-07-07,21.913
2025-07-07 11:49:23.207481,3.639,0.91,43.0,1,2025-07-07,21.913
2025-07-07 12:04:23.207481,3.589,0.897,30.4,1,2025-07-07,21.913
2025-07-07 12:19:23.207481,3.946,0.987,25.2,1,2025-07-07,21.913
2025-07-07 12:34:23.207481,3.691,0.923,42.5,1,2025-07-07,21.913
2025-07-07 12:49:23.207481,3.785,0.946,36.8,1,2025-07-07,21.913
2025-07-07 13:04:23.207481,2.61,0.652,42.0,1,2025-07-07,21.913
2025-07-07 13:19:23.207481,3.564,0.891,33.0,1,2025-07-07,21.913
2025-07-07 13:34:23.207481,3.725,0.931,37.7,1,2025-07-07,21.913
2025-07-07 13:49:23.207481,2.867,0.717,32.6,1,2025-07-07,21.913
2025-07-07 14:04:23.207481,3.141,0.785,44.5,1,2025-07-07,21.913
2025-07-07 14:19:23.207481,3.339,0.835,44.9,1,2025-07-07,21.913
2025-07-07 14:34:23.207481,2.819,0.705,25.4,1,2025-07-07,21.913
2025-07-07 14:49:23.207481,3.059,0.765,42.9,1,2025-07-07,21.913
2025-07-07 15:04:23.207481,2.366,0.591,35.0,1,2025-07-07,21.913
2025-07-07 15:19:23.207481,2.598,0.65,35.4,1,2025-07-07,21.913
2025-07-07 15:34:23.207481,2.042,0.51,38.9,1,2025-07-07,21.913
2025-07-07 15:49:23.207481,2.163,0.541,37.8,1,2025-07-07,21.913
2025-07-07 16:04:23.207481,1.643,0.411,37.6,1,2025-07-07,21.913
2025-07-07 16:19:23.207481,1.418,0.355,38.0,1,2025-07-07,21.913
2025-07-07 16:34:23.207481,1.845,0.461,31.5,1,2025-07-07,21.913
2025-07-07 16:49:23.207481,1.731,0.433,34.6,1,2025-07-07,21.913
2025-07-07 17:04:23.207481,1.001,0.25,36.1,1,2025-07-07,21.913
2025-07-07 17:19:23.207481,0.986,0.247,43.8,1,2025-07-07,21.913
2025-07-07 17:34:23.207481,1.169,0.292,26.1,1,2025-07-07,21.913
2025-07-07 17:49:23.207481,1.019,0.255,31.6,1,2025-07-07,21.913
2025-07-07 18:04:23.207481,0.365,0.091,28.9,1,2025-07-07,21.913
2025-07-07 18:19:23.207481,0.289,0.072,34.1,1,2025-07-07,21.913
2025-07-07 18:34:23.207481,0.373,0.093,34.2,1,2025-07-07,21.913
2025-07-07 18:49:23.207481,0.409,0.102,32.8,1,2025-07-07,21.913
2025-07-07 19:04:23.207481,0.0,0.0,44.6,1,2025-07-07,21.913
2025-07-07 19:19:23.207481,0.0,0.0,31.6,1,2025-07-07,21.913
2025-07-07 19:34:23.207481,0.0,0.0,43.8,1,2025-07-07,21.913
2025-07-07 19:49:23.207481,0.0,0.0,33.5,1,2025-07-07,21.913
2025-07-07 20:04:23.207481,0.0,0.0,38.3,1,2025-07-07,21.913
2025-07-07 20:19:23.207481,0.0,0.0,25.3,1,2025-07-07,21.913
2025-07-07 20:34:23.207481,0.0,0.0,30.9,1,2025-07-07,21.913
2025-07-07 20:49:23.207481,0.0,0.0,39.6,1,2025-07-07,21.913
2025-07-07 21:04:23.207481,0.0,0.0,35.2,1,2025-07-07,21.913
2025-07-07 21:19:23.207481,0.0,0.0,30.6,1,2025-07-07,21.913
2025-07-07 21:34:23.207481,0.0,0.0,33.1,1,2025-07-07,21.913
2025-07-07 21:49:23.207481,0.0,0.0,33.5,1,2025-07-07,21.913
2025-07-07 22:04:23.207481,0.0,0.0,30.5,1,2025-07-07,21.913
2025-07-07 22:19:23.207481,0.0,0.0,26.7,1,2025-07-07,21.913
2025-07-07 22:34:23.207481,0.0,0.0,30.5,1,2025-07-07,21.913
2025-07-07 22:49:23.207481,0.0,0.0,43.2,1,2025-07-07,21.913
2025-07-07 23:04:23.207481,0.0,0.0,43.4,1,2025-07-07,21.913
2025-07-07 23:19:23.207481,0.0,0.0,42.9,1,2025-07-07,21.913
2025-07-07 23:34:23.207481,0.0,0.0,33.4,1,2025-07-07,21.913
2025-07-07 23:49:23.207481,0.0,0.0,40.7,1,2025-07-07,21.913
2025-07-08 00:04:23.207481,0.0,0.0,40.5,1,2025-07-08,27.685
2025-07-08 00:19:23.207481,0.0,0.0,37.9,1,2025-07-08,27.685
2025-07-08 00:34:23.207481,0.0,0.0,42.1,1,2025-07-08,27.685
2025-07-08 00:49:23.207481,0.0,0.0,26.9,1,2025-07-08,27.685
2025-07-08 01:04:23.207481,0.0,0.0,36.4,1,2025-07-08,27.685
2025-07-08 01:19:23.207481,0.0,0.0,26.5,1,2025-07-08,27.685
2025-07-08 01:34:23.207481,0.0,0.0,38.2,1,2025-07-08,27.685
2025-07-08 01:49:23.207481,0.0,0.0,33.2,1,2025-07-08,27.685
2025-07-08 02:04:23.207481,0.0,0.0,38.1,1,2025-07-08,27.685
2025-07-08 02:19:23.207481,0.0,0.0,42.8,1,2025-07-08,27.685
2025-07-08 02:34:23.207481,0.0,0.0,42.3,1,2025-07-08,27.685
2025-07-08 02:49:23.207481,0.0,0.0,34.8,1,2025-07-08,27.685
2025-07-08 03:04:23.207481,0.0,0.0,40.3,1,2025-07-08,27.685
2025-07-08 03:19:23.207481,0.0,0.0,27.4,1,2025-07-08,27.685
2025-07-08 03:34:23.207481,0.0,0.0,44.4,1,2025-07-08,27.685
2025-07-08 03:49:23.207481,0.0,0.0,35.1,1,2025-07-08,27.685
2025-07-08 04:04:23.207481,0.0,0.0,28.1,1,2025-07-08,27.685
2025-07-08 04:19:23.207481,0.0,0.0,40.3,1,2025-07-08,27.685
2025-07-08 04:34:23.207481,0.0,0.0,42.8,1,2025-07-08,27.685
2025-07-08 04:49:23.207481,0.0,0.0,41.8,1,2025-07-08,27.685
2025-07-08 05:04:23.207481,0.0,0.0,28.5,1,2025-07-08,27.685
2025-07-08 05:19:23.207481,0.0,0.0,31.3,1,2025-07-08,27.685
2025-07-08 05:34:23.207481,0.0,0.0,25.7,1,2025-07-08,27.685
2025-07-08 05:49:23.207481,0.0,0.0,26.9,1,2025-07-08,27.685
2025-07-08 06:04:23.207481,0.29,0.073,34.6,1,2025-07-08,27.685
2025-07-08 06:19:23.207481,0.35,0.088,31.2,1,2025-07-08,27.685
2025-07-08 06:34:23.207481,0.281,0.07,28.1,1,2025-07-08,27.685
2025-07-08 06:49:23.207481,0.404,0.101,25.2,1,2025-07-08,27.685
2025-07-08 07:04:23.207481,1.257,0.314,34.2,1,2025-07-08,27.685
2025-07-08 07:19:23.207481,1.053,0.263,29.0,1,2025-07-08,27.685
2025-07-08 07:34:23.207481,1.051,0.263,28.0,1,2025-07-08,27.685
2025-07-08 07:49:23.207481,1.25,0.312,28.7,1,2025-07-08,27.685
2025-07-08 08:04:23.207481,1.743,0.436,32.4,1,2025-07-08,27.685
2025-07-08 08:19:23.207481,2.047,0.512,25.4,1,2025-07-08,27.685
2025-07-08 08:34:23.207481,1.889,0.472,27.5,1,2025-07-08,27.685
2025-07-08 08:49:23.207481,1.567,0.392,35.9,1,2025-07-08,27.685
2025-07-08 09:04:23.207481,2.82,0.705,27.6,1,2025-07-08,27.685
